Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1483146000,12/31/2016 1:00,BTCUSD,956.01,959.1,950.02,955.73,69.54831046
1483149600,12/31/2016 2:00,BTCUSD,955.73,960.63,950.05,951.5,19.66842542
1483153200,12/31/2016 3:00,BTCUSD,951.5,959.1,950,958,24.62341459
1483156800,12/31/2016 4:00,BTCUSD,958,961.98,950.02,950.02,8.473359792
1483160400,12/31/2016 5:00,BTCUSD,950.02,959.73,950.01,954.39,8.929214852
1483164000,12/31/2016 6:00,BTCUSD,954.39,963.43,950.03,963.43,47.10496916
1483167600,12/31/2016 7:00,BTCUSD,963.43,965.22,956.59,960,3.0177747
1483171200,12/31/2016 8:00,BTCUSD,960,960,958.43,959.38,1.120076477
1483174800,12/31/2016 9:00,BTCUSD,959.38,966.97,955,955.13,1.82526076
1483178400,12/31/2016 10:00,BTCUSD,955.13,955.68,955,955,5.18480132
1483182000,12/31/2016 11:00,BTCUSD,955,961.34,951.32,958.68,3.691576531
1483185600,12/31/2016 12:00,BTCUSD,958.68,965.47,953.85,962.18,104.7385479
1483189200,12/31/2016 13:00,BTCUSD,962.18,966.48,956.13,959.84,104.8709095
1483192800,12/31/2016 14:00,BTCUSD,959.84,962.33,955.65,961,5.377949925
1483196400,12/31/2016 15:00,BTCUSD,961,964.96,958.1,964.96,32.73583158
1483200000,12/31/2016 16:00,BTCUSD,964.96,966,960.03,964.99,20.44686972
1483203600,12/31/2016 17:00,BTCUSD,964.99,967.96,961.78,965.99,53.07371276
1483207200,12/31/2016 18:00,BTCUSD,965.99,971.89,965.5,971.87,65.74058464
1483210800,12/31/2016 19:00,BTCUSD,971.87,971.89,961.79,961.79,50.64344419
1483214400,12/31/2016 20:00,BTCUSD,961.79,971.88,961.77,970.03,28.07633447
1483218000,12/31/2016 21:00,BTCUSD,970.03,971.89,964.07,969.99,16.94686327
1483221600,12/31/2016 22:00,BTCUSD,969.99,971.89,964.07,971.89,19.81918086
1483225200,12/31/2016 23:00,BTCUSD,971.89,974.55,970.84,974.55,6.502995691
1483228800,1/1/2017 0:00,BTCUSD,974.55,974.55,965.34,972,10.91424309
1483232400,1/1/2017 1:00,BTCUSD,972,972,970.48,970.55,2.20439247
1483236000,1/1/2017 2:00,BTCUSD,970.55,974.5,967.78,969.89,81.68160234
1483239600,1/1/2017 3:00,BTCUSD,969.89,972.08,967.78,967.8,2.381413731
1483243200,1/1/2017 4:00,BTCUSD,967.8,967.8,967.78,967.8,5.04235591
1483246800,1/1/2017 5:00,BTCUSD,967.8,967.8,965,966.56,0.39387731
1483250400,1/1/2017 6:00,BTCUSD,966.56,967.8,966.46,967.8,0.59453756
1483254000,1/1/2017 7:00,BTCUSD,967.8,967.8,967.8,967.8,1.29859946
1483257600,1/1/2017 8:00,BTCUSD,967.8,967.8,967.8,967.8,0.61991528
1483261200,1/1/2017 9:00,BTCUSD,967.8,969.51,967.8,969.51,0.21326875
1483264800,1/1/2017 10:00,BTCUSD,969.51,974.87,969.51,974.54,9.083009626
1483268400,1/1/2017 11:00,BTCUSD,974.54,978,974.54,977.15,8.83182519
1483272000,1/1/2017 12:00,BTCUSD,977.15,978.99,974.99,975.37,3.647488683
1483275600,1/1/2017 13:00,BTCUSD,975.37,979,975.37,979,1.6004616
1483279200,1/1/2017 14:00,BTCUSD,979,979.95,979,979.95,6.52950143
1483282800,1/1/2017 15:00,BTCUSD,979.95,988.84,979.5,984.2,52.48844505
1483286400,1/1/2017 16:00,BTCUSD,984.2,1000.99,979.01,996.86,280.4212575
1483290000,1/1/2017 17:00,BTCUSD,996.86,999.23,994.9,995.34,134.9610105
1483293600,1/1/2017 18:00,BTCUSD,995.34,998.4,995.34,998.4,65.20446767
1483297200,1/1/2017 19:00,BTCUSD,998.4,999.95,997.9,997.91,58.81383608
1483300800,1/1/2017 20:00,BTCUSD,997.91,1001.995,997.89,1001.995,226.5766713
1483304400,1/1/2017 21:00,BTCUSD,1001.995,1003.54,1001.73,1003.54,37.38858951
1483308000,1/1/2017 22:00,BTCUSD,1003.54,1003.54,998.33,1002.21,35.94838615
1483311600,1/1/2017 23:00,BTCUSD,1002.21,1002.22,995,998.57,43.17396262
1483315200,1/2/2017 0:00,BTCUSD,998.57,999.41,995,997.7,41.97368346
1483318800,1/2/2017 1:00,BTCUSD,997.7,998.66,995.35,998.46,10.42044957
1483322400,1/2/2017 2:00,BTCUSD,998.46,1004.98,995.01,1004.98,64.51146567
1483326000,1/2/2017 3:00,BTCUSD,1004.98,1014.98,1004.98,1010.6,15.1466571
1483329600,1/2/2017 4:00,BTCUSD,1010.6,1014.99,1010.59,1013.84,43.27573456
1483333200,1/2/2017 5:00,BTCUSD,1013.84,1014.98,1013.84,1013.85,4.00101874
1483336800,1/2/2017 6:00,BTCUSD,1013.85,1013.86,1007.62,1013.49,7.162985843
1483340400,1/2/2017 7:00,BTCUSD,1013.49,1013.85,1006,1010.95,6.16691485
1483344000,1/2/2017 8:00,BTCUSD,1010.95,1013.85,1010.95,1013.78,3.71884638
1483347600,1/2/2017 9:00,BTCUSD,1013.78,1014.53,1013.77,1014.52,24.43656103
1483351200,1/2/2017 10:00,BTCUSD,1014.52,1019.99,1014.52,1019.83,29.30434754
1483354800,1/2/2017 11:00,BTCUSD,1019.83,1026.9,1019.83,1026.9,30.75912602
1483358400,1/2/2017 12:00,BTCUSD,1026.9,1026.91,1024.89,1026.9,11.94522358
1483362000,1/2/2017 13:00,BTCUSD,1026.9,1026.9,1005.21,1020.83,83.06029344
1483365600,1/2/2017 14:00,BTCUSD,1020.83,1026.89,1017.55,1019.99,19.95271324
1483369200,1/2/2017 15:00,BTCUSD,1019.99,1029.95,1019.98,1027.66,229.0099927
1483372800,1/2/2017 16:00,BTCUSD,1027.66,1035.9,1024.1,1031.69,143.3469616
1483376400,1/2/2017 17:00,BTCUSD,1031.69,1032.21,1020.68,1025.24,79.5019253
1483380000,1/2/2017 18:00,BTCUSD,1025.24,1028.46,1021.82,1022.2,51.98646041
1483383600,1/2/2017 19:00,BTCUSD,1022.2,1022.2,1011.51,1012.59,92.53718079
1483387200,1/2/2017 20:00,BTCUSD,1012.59,1022.01,995.1,1022.01,207.2567895
1483390800,1/2/2017 21:00,BTCUSD,1022.01,1023.26,1016.72,1018.87,87.46056404
1483394400,1/2/2017 22:00,BTCUSD,1018.87,1027.48,1018.03,1023.09,107.5867405
1483398000,1/2/2017 23:00,BTCUSD,1023.09,1023.75,1020.23,1020.23,54.67111589
1483401600,1/3/2017 0:00,BTCUSD,1020.23,1029.46,1020.22,1027.54,32.87420203
1483405200,1/3/2017 1:00,BTCUSD,1027.54,1028.95,1027.1,1027.85,44.570155
1483408800,1/3/2017 2:00,BTCUSD,1027.85,1028.05,1020.22,1026.49,315.9882728
1483412400,1/3/2017 3:00,BTCUSD,1026.49,1029.87,1025.53,1028.38,11.80434974
1483416000,1/3/2017 4:00,BTCUSD,1028.38,1029.09,1025.78,1027.68,19.59143009
1483419600,1/3/2017 5:00,BTCUSD,1027.68,1027.68,1024.22,1025.63,33.55364463
1483423200,1/3/2017 6:00,BTCUSD,1025.63,1026.79,1023.04,1023.33,6.005043862
